,Unnamed: 0,word,label
938,1169,         boditi         ,location
30397,127068,          lads          ,other
15791,31921,      ayutuxtepeque     ,location
25129,75142,          jill          ,other
28539,106139,         binghi         ,other
23067,60604,        oversized       ,other
19318,41338,         reuters        ,other
2222,3182,         smirni         ,location
9849,24351,      headquartered     ,other
4385,7003,         ukmerge        ,location
27100,91669,         toubkal        ,other
831,1029,         filipe         ,location
3203,4838,         chhotu         ,person
23179,61326,         amounts        ,other
3323,5050,         kupang         ,location
11867,22699,         singlai        ,person
17213,34903,         payday         ,other
13507,26455,         ishmta         ,person
4734,7605,         baliuag        ,location
19080,40442,          seoul         ,other
4219,6643,          jedu          ,person
19862,43595,           von          ,other
16296,33116,          nefta         ,location
4700,7555,         badulla        ,location
16952,34370,        september       ,other
11583,34166,       invitation       ,other
1957,2720,        satyanara       ,person
3879,6048,          mapua         ,location
1070,1365,           az           ,location
10166,18917,         madina         ,person
22804,58757,          johal         ,other
11154,31524,          lake          ,other
2175,3063,        jifarong        ,location
9427,22304,          rush          ,other
1546,2093,          qareh         ,location
11684,34866,          taste         ,other
12269,23562,        batikent        ,location
8583,18516,       sentencing       ,other
19696,42928,         launch         ,other
29241,114075,       reefseekers      ,other
4955,8086,          shsi          ,person
11992,36768,       voluntarily      ,other
17349,35186,          power         ,other
7464,14243,        teenagers       ,other
7557,13278,         prakul         ,person
5822,9649,         sharply        ,other
5404,8965,          veer          ,person
4428,7071,         karima         ,person
28688,107769,        practical       ,other
2137,3059,        sahishta        ,person
32867,159323,          wwii          ,other
11321,21484,         pramil         ,person
3150,4764,         ruksin         ,person
15756,31849,         vihari         ,location
26440,86195,        teaspoon        ,other
30407,127210,  www dallascowboys com ,other
8416,17817,          aimed         ,other
29456,116351,         bearing        ,other
5995,10030,         growth         ,other
18025,36950,        correctly       ,other
4040,6342,          varna         ,location
32495,154242,     demonstrations     ,other
7061,12293,         aitape         ,location
4815,7776,      muzaffargarh      ,location
15804,31953,        harhorin        ,location
24666,71364,        colletti        ,other
28677,107672,       recaptured       ,other
1501,2002,          pappu         ,person
8730,15765,         abhinay        ,person
12395,39469,       permanently      ,other
18181,37391,           top          ,other
12444,23996,          iswer         ,person
17780,36283,          eggs          ,other
8757,15827,        shivyalam       ,person
2321,3303,         santna         ,person
14034,27744,        chadseena       ,person
